"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"h>ACSL3",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ACSL4",1.66604314073485,0.0662457956618341,0.120635030243542,0.549142280878901,0.582907811293893,NA
"h>ACSL5",0.69842593068044,0.0222954393843095,0.0664750120656055,0.335395792968126,0.737326541092719,NA
"h>ACSS1",0.906617615875451,-0.034828705599669,0.0883381299828257,-0.39426582390232,0.693384792575046,NA
"h>ACTA2",1.68372125876382,0.0491794242041331,0.103455919099577,0.475365978400884,0.634526139456116,NA
"h>ACTB",15.4548064582788,0.25595357274632,0.157805756686449,1.62195333123927,0.104813341080648,0.68078132774856
"h>ACTBL2",17.5013465621832,0.136250816219791,0.197495652598441,0.689892736509107,0.49026164391911,0.935380227271857
"h>ACTBL3",40.3999084631402,0.013158263551073,0.175801798187375,0.0748471499537705,0.940336326761522,0.998147377308631
"h>ACTC1",2.04218618265909,-0.113094488322941,0.128702930277601,-0.878725045956652,0.379550375199699,NA
"h>ACTG1",14.5786801879288,0.299237848615879,0.198428643088327,1.50803756936784,0.131544911891727,0.719294821784238
"h>ACTG2",5.76497139475363,0.0335542121097123,0.166969278424049,0.200960394788886,0.840729542637855,0.99420197030658
"h>ACTL6A",0.352285124239086,0.0109554036706655,0.0576850298275301,0.189917621667538,0.849373683680633,NA
"h>ACTN1",2.60597516881752,0.0563145132748779,0.134005524013034,0.420240237778559,0.67430996276572,NA
"h>ACTN4",5.95255551781119,0.0408873422974948,0.175571661824163,0.232881217120585,0.815853644051798,0.99391093876288
"h>ACTR1A",0.488068751360106,-0.006644283294221,0.0688212469711457,-0.0965440701329738,0.923088474465229,NA
"h>ACTR2",2.85827440544359,0.103760472390144,0.135453148605997,0.766024809744066,0.443661540165614,NA
"h>ACTR3",3.30487658984047,0.0637742269756,0.155380358498101,0.41043943772584,0.681483621193332,NA
"h>ACTR3B",0.665431641110638,-0.119998060781282,0.0772690583095408,-1.55298981774268,0.120425567205403,NA
"h>ACTR6",0.34391599196301,0.0301866948444713,0.0490237535847663,0.615756498373303,0.538055242292042,NA
"h>ACVR1",0.254573713652504,-0.0217911462407508,0.0452645779186409,-0.481417197348409,0.630220016531529,NA
"h>ACVR1B",0.485342923732415,-0.0055746358679602,0.0615561239402546,-0.0905618403356724,0.927840754289125,NA
"h>ACVR1C",3.1484736225348,0.111905537276142,0.142468099535692,0.785477855329336,0.432173449014617,NA
"h>ACVR2A",1.45714955099598,0.0196057092515158,0.103612837361181,0.189220850918047,0.849919726188797,NA
"h>ACVRL1",0.244047897609792,-0.00272671858192194,0.0446373642226653,-0.0610860123442819,0.951290708878933,NA
"h>ADAM10",2.42183908733728,0.0510595616962559,0.13700121374145,0.372694228772426,0.709376032274477,NA
"h>ADAM17",0.836002460372471,0.00998696688329755,0.0805229385821161,0.124026358937621,0.901294404777598,NA
"h>ADAM19",0.776741379798889,0.049043037539185,0.0512451839044904,0.957027252172425,0.338553499979562,NA
"h>ADAM28",0.490095412356037,0.0287618626369411,0.0619161618196071,0.464529159942744,0.642268672716747,NA
"h>ADAM8",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ADAM9",0.373769804968275,0.00825804933470665,0.0502183447459794,0.164442881908564,0.869382508137663,NA
"h>ADAMTS1",0.369977285260812,-0.0206624153494569,0.0584053425640503,-0.353776117772059,0.723506672768394,NA
"h>ADAMTS2",4.6331393764475,0.135224309144574,0.167036172399637,0.809551052337622,0.418198249844797,0.91630963060053
"h>ADAMTS6",0.63283520496,-0.02875102771448,0.0737165399361606,-0.390021394647371,0.696520726607188,NA
"h>ADAMTS7",1.1313659137233,-0.0407342084027946,0.0734789532491088,-0.554365659846803,0.579328622649609,NA
"h>ADAMTS8",1.04096730479044,-0.115036895338352,0.10070600506534,-1.14230422767454,0.253327584564214,NA
"h>ADAMTS9",0.489292510070061,-0.00475509596357181,0.0617029254516898,-0.0770643519535359,0.938572351653919,NA
"h>ADAMTSL3",0.601997297910157,0.014110993837298,0.0726327218459472,0.194278742124344,0.845957629836168,NA
"h>ADAP1",0.349648398735998,0.00792250070244428,0.0492040093255332,0.161013316009049,0.872082912826188,NA
"h>ADAR",0.70555434252275,0.030719849411925,0.0768539723041841,0.399717132256188,0.68936487205115,NA
"h>ADARB1",0.238685344479014,-0.00268655585394409,0.0443116340121988,-0.0606286794390044,0.951654932642571,NA
"h>ADCY2",0.37354693582058,-0.0151393968962929,0.0501446701332582,-0.301914378059728,0.762717334819024,NA
"h>ADCY4",0.369607431618602,0.0111844815261144,0.0582715805731499,0.191937157291868,0.847791431210817,NA
"h>ADCY6",0.374468971600034,-0.0208070328836498,0.0586047396719083,-0.355040104266915,0.722559546968529,NA
"h>ADCY7",0.589228735134987,0.0105455918834288,0.0649572417705232,0.162346669839886,0.87103286489632,NA
"h>ADCY9",0.822682685990359,0.10628326823017,0.0899304856883962,1.1818380320822,0.237269973923004,NA
"h>ADD1",1.99288523919779,-0.0245448201575558,0.121131691287558,-0.202629220286277,0.83942484926754,NA
"h>ADD2",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
