"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",A1BG,2.38598257799858,-0.00290516550486932,0.0472246270142658,-0.0615180190622092,0.950946664447587,NA
"2",AAAS,0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"3",AAK1,1.08030091192487,0.00574419251510448,0.0825199439964716,0.0696097481034415,0.944504277899465,NA
"4",AARS,0.349648398735998,0.00792250070244428,0.0492040093255332,0.161013316009049,0.872082912826188,NA
"5",ABAT,0.353218049295766,0.00797288557245577,0.0493577375246936,0.161532638493953,0.8716739070829,NA
"6",ABCA1,0.604222112388502,-0.0218155773845153,0.0656027228591903,-0.332540730532485,0.739480989340827,NA
"7",ABCA2,1.10789197731508,0.00719020459601394,0.099526631156964,0.0722440266733657,0.942407708467764,NA
"8",ABCA3,0.841577634309146,0.0122242966348119,0.0874287231353688,0.139820143728791,0.888802097242612,NA
"9",ABCA5,0.862866489750119,-0.0346019080266052,0.0935002334345165,-0.370072958703776,0.711328129847735,NA
"10",ABCA6,0.446488942531024,0.0448410966590254,0.0523576653715878,0.856438046669642,0.391755527424304,NA
"11",ABCB4,0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"12",ABCB7,0.348777531944442,0.00791016904840778,0.0491663064584069,0.160885972898931,0.872183210384487,NA
"13",ABCC1,0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"14",ABCC10,0.229925387147834,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"15",ABCC5,0.374468971600034,-0.0208070328836498,0.0586047396719083,-0.355040104266915,0.722559546968529,NA
"16",ABCD3,3.78175065083697,0.0370178823386847,0.143339891884352,0.258252478441598,0.796212059192441,NA
"17",ABCD4,0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"18",ABCE1,0.860703733536899,0.0124559285526791,0.0875690236223401,0.142241263376396,0.886889439667059,NA
"19",ABCF1,0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
