"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",0610005C13Rik,2.35661821525905,-0.0532218616901083,0.13889858217476,-0.383170662052875,0.7015932293538,NA
"2",0610007P14Rik,38.1303530065207,0.0868223696063486,0.184191378786995,0.471370431005638,0.6373762278025,0.975062818337175
"3",0610009B22Rik,12.4231249429969,-0.174427321883343,0.196448276780613,-0.887904565730233,0.374592088568993,0.905415204247506
"4",0610009L18Rik,6.98957293501731,0.115586393128184,0.18711400412545,0.617732454972686,0.536751714458608,0.947773943768186
"5",0610009O20Rik,126.384057852305,0.0431651605657957,0.132256547214224,0.326374470489377,0.744141050545285,0.987716507735975
"6",0610010B08Rik,0.988190103345941,0.0559831778196149,0.0848311799343268,0.659936333114251,0.509294686999332,NA
"7",0610010F05Rik,138.92749046053,0.0991845754370767,0.122435082257116,0.810099308209616,0.41788310185751,0.916286089141835
"8",0610010K14Rik,52.9065256709621,-0.0384523768649885,0.166305356785297,-0.23121550386757,0.817147385967217,0.994090233578185
"9",0610011F06Rik,20.9087780575435,0.00179314255379653,0.197396514759182,0.00908396258152842,0.992752146185613,0.999727177206495
"10",0610012G03Rik,28.0832080304132,-0.135012660587445,0.193979765376156,-0.696014145215794,0.486419971294747,0.934300282123611
"11",0610030E20Rik,136.042666653491,0.0508065230135941,0.133153273702423,0.381564204926264,0.702784639187663,0.98455092208713
"12",0610031O16Rik,1.15033674669526,-0.0398500786039934,0.101648254251352,-0.392038986773483,0.695029407578843,NA
"13",0610037L13Rik,65.7388164676834,0.118703016451826,0.161384624186613,0.735528660491024,0.462017591765673,0.928518828805068
"14",0610038B21Rik,1.84382211740534,0.088571977439062,0.127836983471153,0.692850965613161,0.48840308436869,NA
"15",0610039H22Rik,3.66908338641567,-0.219436938216802,0.158512057633179,-1.38435486544887,0.166249821897369,NA
"16",0610039K10Rik,2.08820371319249,0.116064258596914,0.127994721671839,0.906789413507903,0.364518169246645,NA
"17",0610040B10Rik,1.28681899424847,-0.111446655419363,0.108207831963672,-1.02993150677649,0.303042159315422,NA
